District	Lat	Long	START_GROUP_ID
1	41.81882	-87.690935	8360
2	41.919668	-87.742458	5171
3	41.807829	-87.637044	8904
4	41.86436	-87.850139	7480
5	41.881883	-87.691587	8817
6	41.940158	-87.662407	5591
7	41.986912	-87.675934	6889
8	42.018388	-87.765149	6246
9	42.085553	-87.768896	7195
10	41.980066	-87.8245	5645
11	41.798713	-87.760704	6094
12	41.80036	-87.803214	7739
13	41.780154	-87.57448	6641
14	41.658027	-87.720992	7796
15	41.522558	-87.652987	8521
16	41.744065	-87.772725	7555
17	41.340992	-87.649246	1460
18	41.673863	-87.815971	8515
19	41.539057	-87.853807	1595
20	41.943005	-87.727698	6178
21	41.806751	-88.152855	2008
22	42.048349	-88.218491	8806
23	41.940976	-88.084718	1098
24	41.846125	-87.99593	1996
25	41.821545	-88.366288	4832
26	42.206139	-88.13151	9318
27	42.098604	-88.022259	5562
28	42.020107	-88.005117	5777
29	42.182992	-87.868227	9564
30	42.280313	-87.90631	9587
31	42.4093	-87.991261	9466
32	42.351621	-88.437426	2767
33	42.092045	-88.404409	4803
34	42.310199	-89.068941	515
35	42.13307	-88.779478	2927
36	41.648575	-90.207138	3187
37	41.174514	-89.896721	3922
38	41.34901	-88.757768	923
39	41.939486	-87.895325	5681
40	41.204871	-87.934312	1028
41	41.70476	-87.981056	1888
42	41.753614	-88.284272	4675
43	41.517402	-88.102992	1353
44	40.215235	-89.43733	2877
45	42.08282	-89.528737	4062
46	40.569967	-89.912256	4485
47	40.337423	-90.692847	12
48	39.358826	-89.496527	2467
49	41.613171	-88.213519	1283
50	39.498678	-90.377098	3859
51	39.860549	-88.497164	3565
52	40.141587	-87.883403	3619
53	40.709203	-88.309569	3488
54	38.765618	-89.232553	900
55	38.848332	-88.119224	3177
56	38.81701	-90.080626	3126
57	38.52978	-89.99613	4272
58	38.076973	-89.512576	9122
59	37.633795	-88.747742	4347
